jenis,masihBaru,bulanPertama,bulanKedua,bulanKetiga,bulanKeempat,bulanKelima,bulanKeenam,bulanKetujuh,bulanKedelapan,bulanKesembilan,bulanKesepuluh,bulanKesebelas,bulanKeduabelas,bulanKetigabelas,bulanKeempatbelas,bulanKelimabelas,bulanKeenambelas,bulanKetujuhbelas,bulanKedelapanbelas,bulanKesembilanbelas,bulanKeduapuluh,bulanKeduapuluhsatu,bulanKeduapuluhdua,bulanKeduapuluhTiga,bulanKeduapuluhEmpat
Samsung 8,769.0,350.0,350.0,344.23,346.0,352.03,351.91,347.5,347.72,321.72,282.43,299.79,285.0,285.0,264.25,265.91,261.75,254.65,253.22,225.0,220.0,210.0,200.0,190.0,180.0
Huawei mate 10 pro,799.99,220.0,220.0,220.0,220.0,220.0,220.0,220.0,217.08,188.0,200.0,200.0,200.2,203.94,206.0,206.0,172.93,161.29,143.27,85.15,30.0,30.0,45.0,42.5,43.75
Samsung 7 edge,639.0,350.0,350.0,353.1,353.1,353.1,356.11,354.35,320.05,306.05,317.18,312.26,303.78,290.75,286.2,266.02,250.46,219.05,210.0,168.58,169.92,177.1,182.83,168.97,160.99
OnePlus 3T,399.0,184.5,177.84,170.74,160.51,179.1,183.96,194.13,146.04,174.52,163.88,166.71,158.28,155.74,149.61,111.06,50.0,50.0,50.0,27.5,65.0,61.4,80.0,69.33,54.0
Samsung 7,639.0,321.0,321.0,321.0,323.73,322.14,290.95,278.23,288.34,283.88,276.17,264.32,260.18,241.83,227.69,199.14,199.48,178.88,179.11,190.85,164.34,176.59,172.09,145.8,146.31
Samsung 8+,779.0,420.0,420.0,415.13,421.51,407.53,415.4,402.09,401.03,357.89,296.64,324.27,325.6,274.98,302.34,304.66,294.17,279.14,261.69,250.0,250.0,225.0,225.0,215.0,215.0
Samsung 9+,869.0,470.0,473.33,470.1,458.74,448.33,430.25,431.0,400.0,350.0,300.0,300.0,300.0,300.0,300.0,300.0,309.26,322.5,306.04,295.67,178.68,178.01,171.98,175.0,155.9
Huawei P10,569.99,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,180.0,180.0,175.0,150.0,150.0,150.0,150.0,150.0,120.0,132.0,79.0,90.0,137.0,101.83,129.13,65.8
Huawei P20,569.99,150.0,120.0,105.0,89.67,134.85,130.0,132.0,126.41,130.08,129.08,107.82,96.42,77.21,54.8,40.0,37.5,37.21,46.76,47.63,56.25,56.25,56.25,78.85,80.0
OnePlus 6,469.0,216.87,209.04,200.69,188.67,210.52,216.24,228.19,171.66,150.29,120.0,120.0,112.5,148.92,151.11,144.3,155.94,162.6,143.94,156.42,139.17,145.0,145.0,145.0,145.0
Huawei P30,699.99,279.0,193.13,150.0,150.0,103.99,112.5,112.5,112.5,112.5,112.5,187.3,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,220.0,119.52
Huawei Mate 20 Pro,799.99,300.0,280.0,280.0,299.16,312.99,300.0,307.64,321.0,319.61,320.36,265.4,251.73,185.53,131.83,100.0,75.0,75.0,95.63,89.2,104.88,93.87,98.22,90.0,75.0
Huawei Mate 30 Pro,899.99,355.0,287.42,200.0,150.0,132.5,142.19,143.06,129.26,128.08,134.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,114.73,115.0
Huawei P9,499.99,152.37,127.82,111.28,106.14,107.9,104.87,98.33,140.0,112.0,124.38,137.79,150.1,110.0,102.67,77.0,93.5,113.44,105.38,102.85,121.0,113.35,112.61,93.85,94.54
OnePlus 3,329.0,184.5,177.84,170.74,160.51,179.1,183.96,194.13,146.04,174.52,163.88,166.71,158.28,155.74,149.61,111.06,50.0,50.0,50.0,27.5,65.0,61.4,80.0,69.33,54.0
OnePlus 5,449.0,207.62,200.12,192.13,180.63,201.55,207.02,60.0,60.0,60.0,60.0,100.0,100.0,100.0,100.0,115.0,99.67,116.67,120.0,120.0,120.0,80.0,80.0,60.0,32.4
OnePlus 5T,449.0,207.62,200.12,192.13,180.63,201.55,207.02,218.46,164.34,196.38,184.41,187.6,178.11,175.26,168.36,121.8,90.0,63.0,84.38,112.5,114.3,110.39,103.05,112.8,121.78
OnePlus 6T,499.0,250.0,225.0,211.67,160.0,160.0,160.0,188.48,182.64,218.25,204.95,208.49,197.94,194.77,187.11,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0,185.0
OnePlus 7,499.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,141.03,105.0,105.0,105.0,105.0,105.0,105.0,83.13
OnePlus 7 Pro,649.0,250.0,250.0,232.69,250.0,340.71,364.43,377.0,297.39,270.0,270.0,270.0,270.0,275.0,275.0,275.0,275.0,201.81,137.5,137.5,137.5,137.5,137.5,137.5,137.5
OnePlus 7T,499.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,166.13,125.0,125.0,125.0,125.0,125.0,125.0
Samsung 9,739.0,427.0,428.64,407.79,404.2,399.55,376.7,377.93,377.0,350.0,325.0,300.0,245.61,198.81,186.32,207.32,202.01,199.1,193.11,198.67,191.54,200.0,200.0,200.0,200.0
Samsung A5 (2017),363.0,144.0,144.0,144.0,138.1,140.57,138.83,106.03,96.07,105.6,105.6,105.6,105.6,103.86,86.4,86.4,80.0,75.0,75.0,60.0,60.0,55.0,55.0,50.0,50.0
Samsung Fold,1800.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,438.17,450.0,450.0,249.4,236.05,301.43,342.17,345.0,304.29
Samsung s10,799.0,422.62,426.58,431.57,387.56,389.27,389.71,346.27,317.18,330.0,341.85,306.18,288.68,289.84,273.37,290.16,295.0,295.0,294.81,275.13,329.96,237.87,190.0,204.04,218.98
Samsung s10 5g,1099.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,433.46,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,229.48,230.82,234.45
Samsung s10+,999.0,457.06,455.8,473.02,448.52,413.3,423.13,381.69,350.0,350.0,353.45,324.18,316.6,334.85,300.25,326.07,334.88,334.89,335.0,308.9,93.3,264.2,200.0,206.68,227.08
